job_title;degree;key_skills;;;;;;;;;;;;job_experience
 Dot Net Developer;Sci&Tech; soa; sql; relationship management; server; software; jquery; service oriented architectures; quality systems; software implementation; computer science; sql server 2008;;9
 Lead Business Systems Analyst;Others; Analyst;;;;;;;;;;;;5
 Sr. Manager- Art in Mumbai || Opportunity @ Client side;Others; Art Director;;;;;;;;;;;;10
 Hiring for Domestic/ International Processes.contact the HR Asap;Others; fresher; icse; inbound process; outbound; international bpo; uk process; bcom; communication skills; back office; cbse; web chat;;7
 Sr . Manager;Sci&Tech; Automobile; Warehouse; Problem management; Manager Operations;;;;;;;;;4
 Urgent Requirement for CCE Telesales for Night Shift.;Sci&Tech; Outbound; Telesales; Night shift; English; process; Technical; Inbound calls; Service; Printers; Business Executive;;;3
 Vancancy for Inbound Tech Sales Executive;Others; Outbound; Service; Technical support; process; Inbound calls; Domestic BPO; Bonus; Business Executive; Comp;;;;7
 Infrastructure SSO Architect- Looking For Early Joiners;Others; single sign - on; single sign on; IT Infrastructure; SSO;;;;;;;;;10
 Sr. Architect / Project Position: Sr. Architect / Project;Others; layout; coordinating; material selection; ms; mep; photoshop; corel draw; co; monitoring; plumbing;;;9
Nosql (couchdb/redis/bigtable/dynamodb);Others;coding;database design;test cases;analytical;nosql;cassandra;;;;;;;6
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies;Comm&Mgmt; accent; auditing; soft skills; training needs; customer service; process compliance;;;;;;;1
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi;Others; Sales; Fresher; Marketing;;;;;;;;;;8
 AIT Global India Private Limited is Looking For JAVA Developer.;Comm&Mgmt; Java EE; Hibernate; Core Java; Software Development; Spring Mvc; Multithreading; OOD; JDBC; Spring Boot; JSF;;;6
 Relationship Manager - Bangalore;Sci&Tech; business development; sales; sales marketing; marketing executive; sales executive; sales officer; sales manager; area sales manager; territory sales manager; territory manager; area manager;;7
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad;Others; Sales; Sale; Networking Sales; It Solution Sales; Structured Cabling; Passive Networking; Data Center; Cable Tray; cabling; Data Center Rack; data - centre rack;;7
 Business Development Manager;Comm&Mgmt; marketing executive; distributors; customer profiling; sales strategy; market research; Business Development; sales executive;;;;;;5
 Senior Manager-fundraising;Comm&Mgmt; fundraising; finance;;;;;;;;;;;1
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP;Others; worldspan; travel sales consultants; galileo; amadeus; gds;;;;;;;;5
 UI Developer (Frontend Developer);Comm&Mgmt; Front end; Email; PDF; MIN; UI; phone; Strategic HR; Doc; Consultancy; Recruitment;;;4
 Netsuite Technical Consultant;Comm&Mgmt; CVS; ERP; Rest; middle east; Technical; Customization; E-commerce; CRM; Open; WHO;;;6
 Immediate Opening Asp.net MVC Developers For Mumbai (worli);Others; Asp.Net MVC; entity framework; API;;;;;;;;;;5
 Home loan;Others; Loans; Direct Sales Associate; Policies; Bfsi; Finance; Sanction; WHO;;;;;;8
 Angular Developer - Fulcrum Digital;Sci&Tech; Angularjs; CSS; Responsive Web Design; Javascript; Bootstrap; HTML; JSON; JQuery; Web Development; Grunt;;;3
 Devops Engineer - Tools & Automation;Comm&Mgmt; python; open source; database; Automation; java; linux; perl; Monitoring; nosql;;;;4
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last;Others; PR; international bpo; chat process; Aviation; back office; web chat; Guest Relations; Public Speaking; bcom; fresher; inbound process;;3
 QA Functional Testing;Others; QA; Functional testing;;;;;;;;;;;10
 Sales Engineer;Sci&Tech; Sales Engineering;;;;;;;;;;;;4
Software Engineer - Unity Developer;Comm&Mgmt;Design Development;Software Engineering;Lighting;Computer Science;Product Quality;Automation Testing;Asset Management;GUI;Object Oriented Programming;Android;;;4
 Associate Level 1 - Fund Accounting;Sci&Tech; NAV calculation; Fund accounting; Automation; Corporate actions; Accounting; Process improvement; Analytical; Reconciliation; Standard operating procedures; Subject Matter Expert;;;9
 Associate Principal Analyst - Network Security Research;Comm&Mgmt; Networking; Secondary research; Recruitment; Analyst; Network security; Research; IPS; Advisory; Firewall;;;;2
 Training Specialist;Sci&Tech; Team Management; Training Need Analysis; sales training; Retail Sales; MS Office; Product Training; Training; Team Building; Skill Development; Retail Marketing; trainer;;9
 Urgent Opening For Field Recruiter ;Comm&Mgmt; hiring; HRIS; procurement; HR; sourcing; Recruitment; staffing;;;;;;5
 JAVA Developer;Sci&Tech; Computer science; Continuous improvement;;;;;;;;;;;9
 Urgent Openings For Pharma Freshers;Others; pharmaceutical; medical; Pharma; medical billing; healthcare;;;;;;;;3
 Front End Developer - Wordpress/html/css/javascript;Sci&Tech; CSS; Wordpress; MySQL; Javascript; PHP; HTML; JQuery; SEO; Ajax; Hosting;;;2
Mechanical Maintenance – Btech / Diploma;Sci&Tech;mechanical operation;preventive maintenance;mechanical;engineeringbreak down maintenance;mechanical maintenance;;;;;;;;5
 PHP Developer;Others; javascript; html; ajax; jquery; php mysql; smarty; api; analytical; third party; software development life cycle;;;9
Sr.consultant-power Distribution;Sci&Tech;Renewable energy;Power distribution;Power sector;Banking;Electricals;;;;;;;;9
 Hiring for Tech Sales_Inbound UK/ US Voice Process;Comm&Mgmt; Sales Associate; support; Voice process; Issue; Senior; Technical; Inbound calls; Bonus; US shift; Software;;;5
 SUPPORT Engineers (FEMALE CANDIDATES);Others; MCSE; Database; Support Engineer;;;;;;;;;;2
 MS SQL Developer : 0 - 2 Years (only MALE Candidates);Sci&Tech; SSRS; SQL Server; Stored Procedures; SQL Development; MS SQL;;;;;;;;6
 Machine Learning Engineer || Gurgaon/chandigarh Location;Sci&Tech; GIT; Linux; Machine Learning; Python;;;;;;;;;2
 Nurses;Sci&Tech; GNM; Business Executive;;;;;;;;;;;6
 Marketing Executive;Others; institutions; relationships; marketing executive; customer; customers; implementation; company; site; product;;;;1
HR Recruiter (volume Hiring);Sci&Tech;Recruitment;Volume Hiring;HR;BPO Hiring;Sourcing;Interviewing;Onboarding;Staffing;Orientation;Human Resource Management;;;5
 Java Full Stack Developer;Sci&Tech; Java; CSS; Rest; Spring Mvc; Javascript; HTML; JPA; Spring Boot; JQuery; Web Services;;;9
 GM Finance- Export Import Company;Comm&Mgmt; financial analysis; financial planning; taxation; VP Finance;;;;;;;;;9
 Content Writer;Others; Publishing; SEO; Content management; Social media; Wordpress; Management systems; Research; Brand awareness; Web technologies; Journalism;;;1
 Job Opening for Sm/avp_credit Audit_mumbai;Comm&Mgmt; Auditing; Audit Planning; Risk Assessment; Banking; Credit Risk; Credit Policy;;;;;;;6
 iOS Game Developer;Others; c++; development; gaming; C; software; HTML; ios; opengl; iphone; design; MySQL;;7
 Hiring: Executive-business Developer(seller Acquisition) On Contract;Comm&Mgmt; business development; e - commerce; sales executive; sales associate; sales officer; sales; field sales; mba fresher; fresher; new product development; channel sales;;4
 Java/j2ee Application Developer;Others; rest; java; sql; oop; angularjs; ui development; oracle;;;;;;7
 Accepting Application for Intership for Java;Sci&Tech; Android;;;;;;;;;;;;9
 Automation-Expert-Senior-Automation-Expert;Others; Process automation; Commodity Markets; Artificial Intelligence; Market intelligence; Machine learning; Corporate; Relationship; Operations; Analytics; Robotics;;;7
 Product Manager- Marketing(consumer Durables);Sci&Tech; IT Sales; Marketing Campaigns; Social Media; Btl; Marketing Management; Digital Marketing; Dealer Sales; Channel Partners; Communication Skills; Process Flow;;;4
 Embedded Android Engineer;Comm&Mgmt; Android; Troubleshooting; Middleware; Firmware; SOC; Linux kernel; Bluetooth; Computer science; Test scripts; Test strategy;;;2
 Inbound International BPO Voice Process-US Shift;Sci&Tech; Outbound; Antivirus; Technical support; Voice process; Technical Support Executive; US shift; Inbound voice process; Customer Service Executive; Comp; International BPO;;;6
 Sales Executive;Sci&Tech; Sales Executive; Cold calling; market research; customer profiling; sales executive; marketing executive; distributors; Business Development; sales strategy;;;;9
 Recruitment Officer ;Others; Administration; HR; Recruitment; Recruitment Executive; IR;;;;;;;;3
 Senior Principal Software Engineer;Comm&Mgmt; Web development; Analytics; Healthcare; Software design; Monitoring; JIRA; Computer science; Backend; Inside sales; Cloud;;;4
 Senior Branch Sales & Development Head - Agency - General Insurance;Others; Team Management; Advisory Services; General Insurance; Sales Initiatives; Financial Products; Distributor Sales; Branch Sales; Sales Development; Motor Insurance; Marketing;;;7
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition;Comm&Mgmt; clinical pharmacy; mr; sales officer; territory executive; business development; sales executive;;;;;;;10
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon;Sci&Tech; sap; procurement; scm; material; sheetmetal; sheet metal; purchase; VD; vendor development; sourcing; BOP;;4
 Java with AngularJS and Spring;Comm&Mgmt; Angularjs; CSS; Core Java; DOM; Computer Science; Javascript; HTML; Spring; Ajax;;;;6
 Manager- Admission;Others; data analysis; Admissions; placements; Help Desk; access controls; Asset Management;;;;;;;9
 Full Time Academic Writer for Ca/cma- Accounting & Taxation;Sci&Tech; academic research; accounting; taxation; ifrs; us gaap; international taxation; cost accounting; company secretary; auditing; company law; corporate law;;7
 Sales Head for It Consulting Company in Gurgaon;Comm&Mgmt; marketing; bdm; sales; business development; it sales; ncr; hardware sales;;;;;;4
 Adeeba Group is Currently hiring for US Inbound Tech Process.;Others; Outbound; Night shift; Service; English; process; Technical; Technical support; Inbound calls; Voice process; Group;;;6
 Mechanical Engineer Require For Shut Down;Sci&Tech; RT; PT; MPI; NDT Inspection; NDT Level; Diploma; Quality Inspection; Level Ii; Inspection Engineering; Mechanical Engineering; UT;;10
 CARE Specialist;Others; Customer service; Healthcare; Customer relationship; Windows; Graphic designing; CAD; Illustrator; Customer satisfaction; Application software;;;;6
 Opening For Fresher;Sci&Tech; BPO; any graduate; Voice Process; Voice Support;;;;;;;;;10
 Technical Support Associate / Technical Sales Associate-Inbound Voice ;Sci&Tech; Outbound; Antivirus; Comp; Technical support; Technical Support Associate; technical sales associate; Sales; Technical Associate; Voice support; Inbound calls;;;10
 Head of Maintenance;Sci&Tech; Equipment Maintenance; Hydraulics; Inventory Management; Management Skills; Maintenance Head; Electricals;;;;;;;7
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore;Sci&Tech; motor insurance; insurance sales; insurance broking; general insurance;;;;;;;;;1
Spring Boot;Sci&Tech;SQL;Hibernate;Multithreading;OOAD;Eclipse;Business process;Outsourcing;Version control;Memory management;Control system;;;5
 Sr. Engineer Design (Mechanical);Sci&Tech; CATIA; AutoCAD; Pressure vessels; Mechanical; Primavera; PSCAD;;;;;;;6
 Senior Manager Cost & Program Management;Others; Team Management; Project Execution; Program Management; Customer Experience; Data Analytics; Supply Chain; Operations Planning;;;;;;7
 Manager Sales Commercial Segment;Sci&Tech; business development management; Sales Management;;;;;;;;;;;4
 Outbound Sales Executive;Comm&Mgmt; Outbound Sales; tele sales; Sales Executive Activities;;;;;;;;;;5
 US Tech Process;Sci&Tech; Technical support; Outbound; Comp; Technical; Domestic BPO; US shift; process; Inbound calls; Bonus;;;;1
 Software Engineer- Mobile Applications - Android;Comm&Mgmt; financial s; windows; android; mobile development;;;;;;;;;6
 Hardware Board Design Engineer;Others; Hardware Board Design; Mixed Signal; Design Engineering;;;;;;;;;;4
 Corporate Head - Operations;Others; environment; functional; operations; business; verbal communication; coaching; analytical skills;;;;;;9
 HR Recruitment Executive;Comm&Mgmt; Screening; Linkedin; IT Recruitment; hr recruitment; Database; recruiter; Sourcing; Interviewing; Recruitment;;;;1
 Software Engineer Android;Comm&Mgmt; java; linux; server; development; eclipse ide; c; technical; mobile; eclipse; objective c; usability;;1
 Sales Coordinator;Others; Retail Sales; Sales Executive Activities; Revenue Generation; Inhouse Sales;;;;;;;;;6
 Ecommerce Executive;Sci&Tech; BPO; Customer Support; international bpo; Voice Process; International Voice; International Voice Process;;;;;;;8
 Team Lead / Dev Lead;Others; J2Ee; Core Java; jQuery; ERP; Tomcat; Eclipse; Open source; Selenium; Computer science; OFBIZ;;;5
 Andriod Developer;Others; Android Development; Android Studio; Java; Troubleshooting; API Testing; API;;;;;;;4
 Physics Teacher;Comm&Mgmt; Counselor; Mentor; Trainer; Advisor; Teaching;;;;;;;;8
 Design Engineer;Sci&Tech; Wireless; Automation; Simulation; Networking; Aerospace; FPGA; Coding; System verilog; Automotive; Physical design;;;5
 VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ;Others; hr; recruitment; recruiter; hiring; head hunting; leadership; mass hiring; volume hiring; bulk hiring; team leader; senior;;5
 Associate;Others; Associate;;;;;;;;;;;;8
 Receptionist (Female);Sci&Tech; Receptionist; Administration; Front Desk; Travel Arrangements; Front Office; Computer Operating;;;;;;;9
 Senior .NET Developer;Sci&Tech; javascript; html; sql server; ajax; jquery; soa; oop; english; proactive; asp net c;;;1
 Sales Manager : School & Higher Academic Books;Sci&Tech; marketing executive; Sales; distributors; customer profiling; sales strategy; market research; Business Development; sales executive;;;;;5
 Supply Chain - Import Export Executive;Others; QMS; Impex; Environmental Management System; Warehouse Management System; Export Import Logistics;;;;;;;;9
 Walk-in Drive for Java Dev/sr. Dev on 29th June at Delhi;Comm&Mgmt; Java; core java; J2EE; Hibernate; Spring; LDAP; ADFS; Json; SOAP; jQuery; REST;;2
 Hiring for Spring Boot Developer-noida;Comm&Mgmt; spring boot; spring security; spring mvc;;;;;;;;;;7
 Dynamic CRM Architect;Others; Dynamics CRM; .Net; Azure; Visual Studio; Microsoft Dynamics; Solution Management; Root Cause; microservices; .NET development;;;;1
 Hiring for Accounts Manager (business Development)- Radio In;Others; Marketing Strategy; Strategic Thinking; Interpersonal Communication; Sales; Promotions; Accounting; Account Management; Team Leading; Business Development Management; Advertising;;;8
Urgent Openings for O2C;Sci&Tech;O2C;OTC;Order Management;Credit Management;Communication Skills;;;;;;;;9
 ARCHITECTURAL CAD;Comm&Mgmt; visualization; m e p; modeling; drafting; design development; drawings; cad; preparation; quality;;;;6
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division";Others; pnr; primetime; sta; floorplan; timing closure; synthesis; vlsi; Physical design; floor planning;;;;9
 Assistant Manager Purchase;Others; Assistant Manager Purchase;;;;;;;;;;;;1
 Sr. Cloud Developer;Others; SQL; Python; Analytics; Machine learning; Solution architecture; Analytical; SCALA; Cosmos; Programming; Data warehousing;;;9
 Hiring for Manager Quality ( Voice and Chat);Sci&Tech; BPO; Transactional Quality; Quality Management; Quality manager; manager Quality;;;;;;;;4
 Sharepoint Support Engineer;Comm&Mgmt; IIS; Exchange Server; Windows Server; WSS; Sharepoint; Active Directory;;;;;;;3
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai;Others; pharma chemicals; business development; api; intermediates; sales;;;;;;;;9
 Java- Technical Lead- Tavant Technologies - Hyderabad;Others; Hibernate; Design Patterns; Cloud; Spring Boot; Team Leader; core java; Web Services; Microservices;;;;;9
 Hiring For Oracle Apps DBA@ Hyderabad;Sci&Tech; Exadata; performance tuning; 11g; patching; sql; dataguard; rac; cassandra; oracle database; Weblogic; ebs;;6
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14;Comm&Mgmt; hospital; pharma; pharmacy;;;;;;;;;;6
 HR Trainer;Sci&Tech; Training Needs; Soft Skills; Accent; HR; Feedback; Coaching; Customer Service; Process Compliance;;;;;3
 Project Manager For Civil Work;Others; Real Estate Construction; Project Management; Interpersonal Communication; Communication Skills; Project Manager; Project Coordinator; site coordinator;;;;;;5
 Vacancy For Motion Graphic Artist;Others; Graphics; Multimedia; Visualization; Infographics; Social Media; Adobe After Effects; Protools; Photoshop; Graphic Designing; English Language;;;2
 Business Associate;Comm&Mgmt; international bpo; Chat Process; voice based process; tele caller; process developer; Sales; b.a; exl; communication skills; Ba; Blended Process;;8
 Project Support Officer/Administrator;Sci&Tech; project support; Banking; Maya; E-commerce; big data;;;;;;;;3
 Procurement - MDM;Others; Procurement; Business process; IT services; Automation; data services; Master data management; Consulting; Vendor; Troubleshooting; Business Executive;;;9
 If You're an Experienced in International Tech Sales Then Call Us / In;Others; Recruitment; Outbound; Technical support; English; Comp; Email; Troubleshooting; Domestic BPO; International BPO; Inbound calls;;;3
 Senior Game Artist;Sci&Tech; Photoshop; Illustrator; Fine arts; Software design; User interface designing; game development; creative content; Supervision; Relationship Executive; Business Executive;;;2
 Manager (PR);Comm&Mgmt; marketing; project management; PR; project planning;;;;;;;;;3
 Senior Engineer Project;Comm&Mgmt; Leadership training; Software development life cycle; Management;;;;;;;;;;1
 PERL Developer;Others; Python; Six Sigma; PMP; .NET; HTML; JavaScript; SQL; Oracle; assembly language; Real Time Operating Systems;;;3
 SME Techincal Supervisor_ Red Hat;Others; Camel_magarpatta;;;;;;;;;;;;1
 Wire Industry;Others; customer profiling; market research; sales executive; marketing executive; distributors; sales strategy; Business Development;;;;;;4
 Manager Brand Marketing;Others; customer segmentation; Brand management; Strategic partnerships; Brand marketing; Consumer insights; Performance appraisal; Operations; Promotional strategies; Marketing strategy; Recruitment;;;4
 Oracle Fusion Apps_manufacturing_any Location;Sci&Tech; Negotiation; Marine Operation; Oracle Fusion; Manufacturing; Inventory;;;;;;;;5
 VP / Sr.vp Fire;Comm&Mgmt; Fire Safety; fire; Senior Management;;;;;;;;;;8
 Data Science Engineer;Comm&Mgmt; Unix; data science; SQL; Linux; SAS; HTML; Perl; SDLC; Android; Python;;;7
Executive - Lab Instruments Maintenance;Sci&Tech;Installation;Breakdown Maintenance;Preventive Maintenance;;;;;;;;;;10
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi;Sci&Tech; dot matrix; printer; printer support; Laserjet; Hardware;;;;;;;;7
 When you need a Roof you need a job. Come work with us;Others; Outbound; Technical Support Associate; Email; Technical; US shift; Medical; Antivirus; Troubleshooting; Technical support; Comp;;;7
 Senior Data Analyst;Others; Reporting; Data Analysis; Business Analytics; Data Analytics; kpo;;;;;;;;9
 Senior US IT Recruiter / Senior US Recruiter;Comm&Mgmt; us it recruiter; us it recruitment; us it staffing; us staffing; us technical recruiter; us recruitment;;;;;;;10
 Service Engineer - Bhiwadi;Others; service engineering; maintenance; breakdown; shutdown; amc; installation; repair; troubleshooting; field service engineer; Preventive Maintenance; breakdown maintenance;;1
 Sales Manager;Others; enterprise sales; relationship building; new business; sales strategy; B2B Sales; marketing management; cross selling; product marketing; consultative sales; b2b marketing; service sales;;8
 Accounts Executive For 1-2 Years Experience;Sci&Tech; accounts executive; Accounting; accounts; finance;;;;;;;;;4
 Inbound Tour Manager;Others; inbound; costing; selling; good communication; good communication skills; tickets; tour; experience; manager; packages;;;2
 Swimming Pool Technician;Sci&Tech; Monthly Reports; Maintenance; Technician Activities; Water Quality;;;;;;;;;3
Data Science Manager;Comm&Mgmt;kaggle;NLP;data science;Artificial Intelligence;Natural Language Processing;analytical techniques;Text Mining;big data;machine learning;Deep Learning;;;2
 Associate Vice President - Talent Acquisition - Campus Hiring Program;Others; Talent Acquisition; Recruitment; HR; Campus Hiring; recruitment; recruiting;;;;;;;6
 Governance & Performance-Performance Management-Professors;Comm&Mgmt; Counselor; Mentor; Trainer; Advisor; Teaching;;;;;;;;9
 Operations - SME / Retail;Sci&Tech; Retail; marketing executive; distributors; customer profiling; sales strategy; SME; market research; Business Development; Operations; sales executive;;;1
 Sr. Sales / Sales Executive;Comm&Mgmt; Manager Sales; Sales Manager; assistant sales manager; MICE; Travel Agent; Senior Sales Executive; senior sales officer; Corporate Sales; Hotel Sales; Room Sales; Sales Executive;;5
 Senior Business Analyst - Sql/python;Comm&Mgmt; data analysis; vba; macros; advanced excel; oracle sql; google analytics; business analysis; python; data mining; business analyst;;;6
 Head- Land Management.;Sci&Tech; land acquisition;;;;;;;;;;;;4
 Sr. Business Analyst;Sci&Tech; Java; Tomcat; Eclipse; OOPS; HTML; UNIX; SQL; DB2; Weblogic; XML; Flex;;4
 CNC Machine Operator;Sci&Tech; cnc; cnc operator; cnc maintenance; cnc programming;;;;;;;;;8
 Executive;Sci&Tech; Medical Representative; Senior Executive;;;;;;;;;;;6
 Presales Manager - Networking;Sci&Tech; Sales Engineer; solution architect; Presales; solution consultant; Technology Consultant;;;;;;;;8
 Inside Sales Executive;Comm&Mgmt; Inside Sales; Lead Generation; Cold Calling; New Business; Customer Service; Proposal Writing; Follow Ups; Sales Executive Activities; Communication Skills; Convincing Power;;;8
 Customer Care Executive;Others; Customer Care; Inbound Process; Night Shift; Customer Care Executive; Customer Care Officer; BPO; Domestic BPO; International BPO;;;;;6
 HR - Talent scout specialist;Sci&Tech; Performance management; Analytical; Design development; Conceptualization; HR; Continuous improvement; Sales support; Recruitment; Testing;;;;5
 Sr. Sales Manager;Sci&Tech; Service delivery; Bfsi; enterprise mobility; Market intelligence; Tools; Application development; Sales process; microsoft; Middleware; Business Executive;;;8
 Laundry Executive;Others; laundry;;;;;;;;;;;;10
 Accounts executive;Sci&Tech; TDS; Financial statements; Invoice processing; business opportunity; Interpersonal skills; Tally ERP; Accounting; Analytical; Accounts receivable; Recruitment;;;10
 MBA HR - Experience;Comm&Mgmt; ERP; Succession Planning; MIS; Reports; Talent Management; Human Resources; HR Policies; Recruitment; Talent Acquisition;;;;1
 System Analyst;Others; T-SQL; Web technologies; data manipulation; MIS; XML; Data structures; System Analyst; JSON; Scripting;;;;8
 Account Assistance;Comm&Mgmt; Audit; Credit Officers; Internal audit; Accounting; Finance; Tax; Accounts; Risk Management;;;;;10
 Senior Embedded Engineer;Others; gsm; ethernet; development; optimization; product development; troubleshooting; gps; lcd; embedded; spi;;;8
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai;Others; Fortigate; Networking; Routing; Hyper - V; Dlp; Sophos; Windows; Virtualization; Switching; Firewall;;;6
 Java Developer;Comm&Mgmt; Java; Spring Boot; Web Services; Microservices;;;;;;;;;4
 Sr. Software Engineer Android/Hybrid;Sci&Tech; SQL; Android; jQuery; UML; Coding; Graphics; JSON; Test cases; System testing; SQLite;;;7
 Principal Engineer-Piping;Sci&Tech; HVAC; Architecture; Project management; CAD; thermal; Conceptualization; Instrumentation; Autodesk; Food processing; Project delivery;;;2
 Business Analyst - Structured Finance;Comm&Mgmt; electronic trading; structured finance; dcf; equity research; bloomberg; investment banking; business analysis; bonds; valuation; advanced excel; hedge fund;;3
Solution Architecting;Sci&Tech;Product management;Analytical skills;software architecture;Prototype;Business analysis;Manager Technology;Outsourcing;Resource management;Operations;Solution architecting;;;1
 Sales / Business Development;Others; Sales Head; Hospitality; Office automation; Residential sales; Sales strategy; Bfsi; management; Real estate sales; Flex; Executive search;;;7
 Consultant;Comm&Mgmt; Com; Application support; Email; SAP IS-Utilities; level; Billing; change; Service; CRM; Entry level;;;9
 Network & Security Architect- Pune;Comm&Mgmt; Network;;;;;;;;;;;;6
 Business Development Manager;Sci&Tech; ERP; RF; Action plan; Relationship; Software sales; Business planning; B2B Sales; RFQ; RFP; CRM;;;10
 Assistant Vice President - Stock Broking - Delhi;Others; Equity; Currency; Mutual Funds; Commodities; Stock Broking; New Client Acquisition; Business Generation; Channel Distribution; Team Management; team handling; sales;;5
 Production Manager in Press Shop & Projection Welding;Others; Production Management; Weld Shop; Press Shop; pressing; sheetmetal;;;;;;;;8
 salesfoce Developer +3Years / Mumbai;Sci&Tech; Salesforce Developer; sfdc developer; Salesforce;;;;;;;;;;5
 Social Media Executive;Sci&Tech; website; facebook; online; Twitter; seo; internet; search engine optimisation;;;;;;6
 SAP PLM Consultant - SAP MM Module;Sci&Tech; SAP PLM; SAP MM; SAP EHS;;;;;;;;;;10
 Python Manager - IIT/ IIM/ DSE/ ISI;Comm&Mgmt; Microstrategy; Business Intelligence; Cognos; Business Objects; Tableau; AWS; Python; SQL;;;;;5
 Marketing Manager - Activation - Iit/nit;Comm&Mgmt; Marketing; Event Management; Brand Management;;;;;;;;;;6
 Hiring .Net Developers for Hyderabad Location;Sci&Tech; asp.net; ado.net; MVC;;;;;;;;;;2
 Senior BI Cognos Developer;Sci&Tech; SQL; Oracle; Cognos; Business intelligence; Automotive; Supply chain; DBMSTools; metadata;;;;;8
 Technical Support Engineer;Others; Technical support; SAN; Veritas; Data management; NetBackup; Windows OS; WebEx; Unix operating system; TCP/IP; IT infrastructure;;;8
 Senior Drupal Developer;Others; Drupal; Linux; MySQL; Python; Consulting; Procurement; Monitoring; Front end; Backend; Django;;;5
 Pre Sales Executive;Sci&Tech; Presales; Real Estate Sales; Residential Sales; Sales Executive Activities;;;;;;;;;5
 Content Writer Required for a Monthly Magazine;Others; Editing; proof reading; content writer; editor; Articles; Article Writing; Content Editor; Journalism; Mass Communication; Copywriter; Associate Editor;;3
 Sales Engineers;Sci&Tech; set; eee; interpersonal skills; selling; sales marketing; travel; marketing management; hardware;;;;;6
 Senior Laravel Developer;Others; MySQL; Wordpress; Javascript; Flex; CMS; PHP; HTML; JSON; Joomla; Ajax;;;6
 Hub-Incharge Bangalore;Sci&Tech; Help Desk; Customer Service; customer relationship; access controls; Asset Management; Vendor Management;;;;;;;4
 Staff Nurse;Comm&Mgmt; Nursing; NICU; Medical ; patient care; Nurse;;;;;;;;10
 Back Office Executive|data Entry Operators|domestic BPO;Comm&Mgmt; back office processing; BPO; part time; data entry; computer operator; backend; non voice; chat process; account; marketing; inbound process;;8
 Sr Equity Advisor - 5 nos;Sci&Tech; shares; market research; communication skills;;;;;;;;;;1
 Data Scientist - Sql/nosql;Sci&Tech; SQL; NoSQL; R; Python; Scala; Data Visualization; Machine Learning; Data Science; Data Modeling; Algorithm;;;1
 Hiring For Day Shift Non Voice Sal. Up To 24K;Sci&Tech; international bpo; IT Helpdesk; freshers; customer care; international voice; call center; customer support; technical helpdesk; service desk; bpo fresher; uk;;8
 React.js Developer;Comm&Mgmt; jQuery; MySQL; Struts; Javascript; Database; JSF;;;;;;;9
 Requirement in Private bank for BDE;Comm&Mgmt; Business Development; Sales; Bde; New Business; Business Analyst; Business Development Manager; Business Development Executive; Senior Business Analyst; Sales Manager; Banker; Private Banker;;1
 Physics- TGT;Others; Counselor; Mentor; Trainer; Advisor; Teaching;;;;;;;;10
 Technical Sales Executive -mumbai;Sci&Tech; sales engineer; Technical Sales; Sales Executive Activities;;;;;;;;;;4
 Urgent Opening - Hp-ux Administrator;Comm&Mgmt; Unix;;;;;;;;;;;;1
 Support Executive;Others; Interpersonal skills; Direct marketing; IT hardware; Management; Support Executive;;;;;;;;10
 J. Stores - Manager;Sci&Tech; Analytical skills; Technical; Educational qualification; Stores; Management; Forecasting; Electricals; Inventory; Cables; Organization skills;;;10
 Product Manager;Sci&Tech; product management; product pricing; sales; market research; user experience; marketting; asm; tsm; sales manager;;;;3
 Draughtsman;Others; AutoCAD; Costing; Draughtsman; Civil; 3D;;;;;;;;9
 Senior Java Tech Lead - Spring Boot/ Data Structure;Sci&Tech; Java; SOA; TDD; SaaS; J2EE; Spring Boot; API; Algorithm; Data Structure;;;;2
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas;Comm&Mgmt; Mba Finance; Auditing; Internal Audit; SOX; Audit Compliance; Compliance;;;;;;;7
 ETL Datastage Developer;Sci&Tech; Technical Management; Agile Methodology; Unit Testing; Design Development; Business Analytics; Big Data; SQL Queries; Spark; Performance Tuning; Test Case Design;;;5
 Technical Lead;Sci&Tech; CSS; Html5; MySQL; Javascript; Bootstrap; JSON; Node.Js; JQuery; Core PHP; Ajax;;;10
 Specialist - DV;Comm&Mgmt; Javascript; SQL; Python; design studio; Strategy consulting; Front end; big data analytics; QlikView; MATLAB;;;;9
 MES camster/apriso/hydra engineer;Sci&Tech; Oracle database; server; VB.NET; technical; tools; sql; Sql Server 2008; database; design; MS.net; Application development;;2
